"Run 1: Time (s)","Run 1: Force 1 (N)","Run 1: Force 2 (N)","Run 1: Force 3 (N)","Run 1: Force 4 (N)","Run 1: Total Force (N)"
588,284.49,703.3,315.02,369.96,1672.77
590,283.27,702.08,315.02,369.96,1670.33
592,283.27,703.3,316.24,369.96,1672.77
594,283.27,703.3,316.24,369.96,1672.77
596,283.27,702.08,315.02,368.74,1669.11
598,283.27,703.3,315.02,368.74,1670.33
600,283.27,703.3,315.02,368.74,1670.33
602,284.49,703.3,315.02,368.74,1671.55
604,283.27,703.3,315.02,368.74,1670.33
606,284.49,703.3,315.02,369.96,1672.77
608,283.27,703.3,316.24,368.74,1671.55
610,284.49,702.08,316.24,369.96,1672.77
612,283.27,702.08,315.02,369.96,1670.33
614,283.27,703.3,316.24,369.96,1672.77
616,283.27,703.3,316.24,369.96,1672.77
618,283.27,702.08,315.02,369.96,1670.33
620,283.27,702.08,315.02,368.74,1669.11
622,284.49,703.3,316.24,368.74,1672.77
624,284.49,702.08,315.02,369.96,1671.55
626,284.49,702.08,315.02,368.74,1670.33
628,283.27,702.08,315.02,369.96,1670.33
630,283.27,702.08,315.02,369.96,1670.33
632,283.27,702.08,315.02,368.74,1669.11
634,283.27,703.3,315.02,369.96,1671.55
636,283.27,700.85,316.24,369.96,1670.32
638,283.27,702.08,315.02,368.74,1669.11
640,283.27,703.3,315.02,368.74,1670.33
642,283.27,703.3,315.02,368.74,1670.33
644,284.49,703.3,316.24,367.52,1671.55
646,283.27,703.3,315.02,368.74,1670.33
648,283.27,702.08,315.02,368.74,1669.11
650,283.27,703.3,315.02,368.74,1670.33
652,284.49,703.3,315.02,368.74,1671.55
654,283.27,703.3,315.02,368.74,1670.33
656,283.27,702.08,313.8,368.74,1667.89
658,283.27,703.3,315.02,369.96,1671.55
660,283.27,703.3,315.02,368.74,1670.33
662,282.05,702.08,315.02,368.74,1667.89
664,283.27,703.3,315.02,367.52,1669.11
