,SQUID_Volt(V),timestamp,Temp(V)
445,-2.89498000E-05,1558949587.7206666,+6.60220000E-05
446,-2.90299000E-05,1558949587.929,+6.63070000E-05
447,-2.88498000E-05,1558949588.1373332,+6.59980000E-05
448,-2.90234000E-05,1558949588.3456666,+6.59850000E-05
449,-2.90100000E-05,1558949588.554,+6.63320000E-05
450,-2.90767000E-05,1558949592.153,+6.60720000E-05
451,-2.90299000E-05,1558949592.3613334,+6.61960000E-05
452,-2.89633000E-05,1558949592.5696669,+6.67410000E-05
453,-2.91233000E-05,1558949592.778,+6.62950000E-05
454,-2.89900000E-05,1558949592.9863334,+6.62700000E-05
455,-2.89832000E-05,1558949593.1946669,+6.68150000E-05
456,-2.89833000E-05,1558949593.403,+6.62830000E-05
457,-2.88630000E-05,1558949593.6113334,+6.60720000E-05
