,SQUID_Volt(V),timestamp,Temp(V),SQUID_Curr(A)
286,+1.73301000E-06,1558906660.6026669,+1.53600000E-06,-1.47797900E-03
287,+1.73434000E-06,1558906660.811,+1.28800000E-06,-1.47814800E-03
288,+1.78310000E-06,1558906661.0193334,+1.42500000E-06,-1.47814800E-03
289,+1.72967000E-06,1558906661.2276669,+1.07800000E-06,-1.47829100E-03
290,+1.76840000E-06,1558906661.436,+1.45000000E-06,-1.47847300E-03
291,+1.74837000E-06,1558906661.6443334,+1.47400000E-06,-1.47817400E-03
292,+1.77041000E-06,1558906661.8526669,+1.58600000E-06,-1.47844700E-03
293,+1.76840000E-06,1558906662.061,+1.89600000E-06,-1.47848600E-03
294,+1.77642000E-06,1558906662.2693334,+1.63500000E-06,-1.47862900E-03
295,+1.80246000E-06,1558906662.4776669,+1.45000000E-06,-1.47862900E-03
296,+1.81983000E-06,1558906662.686,+1.56100000E-06,-1.47877200E-03
297,+1.86123000E-06,1558906662.8943334,+1.49900000E-06,-1.47877200E-03
298,+1.79311000E-06,1558906663.1026669,+1.45000000E-06,-1.47878500E-03
299,+1.88059000E-06,1558906663.311,+1.58600000E-06,-1.47873300E-03
300,+1.78176000E-06,1558906666.912,+1.31300000E-06,-1.47896700E-03
301,+1.76039000E-06,1558906667.1203332,+1.58600000E-06,-1.47931800E-03
302,+1.79913000E-06,1558906667.3286667,+1.53600000E-06,-1.47921400E-03
303,+1.81248000E-06,1558906667.537,+1.46200000E-06,-1.47908400E-03
304,+1.77641000E-06,1558906667.7453332,+1.57300000E-06,-1.47944800E-03
305,+1.77441000E-06,1558906667.9536667,+1.49900000E-06,-1.47939600E-03
306,+1.70029000E-06,1558906668.162,+1.51100000E-06,-1.47937000E-03
307,+1.70029000E-06,1558906668.3703332,+1.62300000E-06,-1.47973400E-03
308,+1.61948000E-06,1558906668.5786667,+1.69700000E-06,-1.47972100E-03
309,+1.69561000E-06,1558906668.787,+1.30100000E-06,-1.47989000E-03
310,+1.62015000E-06,1558906668.9953332,+1.37500000E-06,-1.47994200E-03
311,+1.65821000E-06,1558906669.2036667,+1.64800000E-06,-1.47969500E-03
312,+1.64152000E-06,1558906669.412,+1.56100000E-06,-1.47987700E-03
313,+1.58007000E-06,1558906669.6203332,+1.42500000E-06,-1.47957800E-03
314,+1.58141000E-06,1558906669.8286667,+1.66000000E-06,-1.47994200E-03
315,+1.53867000E-06,1558906670.037,+1.38800000E-06,-1.47981200E-03
316,+1.58676000E-06,1558906670.2453332,+1.74700000E-06,-1.48008500E-03
317,+1.62082000E-06,1558906670.4536667,+1.45000000E-06,-1.48000700E-03
318,+1.59410000E-06,1558906670.662,+1.32600000E-06,-1.48017600E-03
319,+1.60746000E-06,1558906670.8703332,+1.63500000E-06,-1.47999400E-03
320,+1.62015000E-06,1558906671.0786667,+1.61100000E-06,-1.48028000E-03
321,+1.63818000E-06,1558906671.287,+1.45000000E-06,-1.48020200E-03
322,+1.62749000E-06,1558906671.4953332,+1.49900000E-06,-1.48060500E-03
323,+1.64486000E-06,1558906671.7036667,+1.38800000E-06,-1.48042300E-03
324,+1.65955000E-06,1558906671.912,+1.54900000E-06,-1.48061800E-03
