,Temp(V),timestamp
2136,+1.52275170E+00,1558939682.7306666
2137,+1.52276290E+00,1558939682.939
2138,+1.52281620E+00,1558939683.1473331
2139,+1.52291290E+00,1558939683.3556666
2140,+1.52306660E+00,1558939683.564
2141,+1.52326000E+00,1558939683.7723331
2142,+1.52361820E+00,1558939683.9806666
2143,+1.52405320E+00,1558939684.189
2144,+1.52451810E+00,1558939684.3973331
2145,+1.52511550E+00,1558939684.6056666
2146,+1.52556300E+00,1558939684.814
2147,+1.52596460E+00,1558939685.0223331
2148,+1.52618770E+00,1558939685.2306666
2149,+1.52634880E+00,1558939685.439
2150,+1.52648520E+00,1558939689.039
2151,+1.52651740E+00,1558939689.2473333
2152,+1.52651990E+00,1558939689.4556668
2153,+1.52646540E+00,1558939689.664
2154,+1.52639470E+00,1558939689.8723333
2155,+1.52634760E+00,1558939690.0806668
2156,+1.52634140E+00,1558939690.289
2157,+1.52635500E+00,1558939690.4973333
2158,+1.52634390E+00,1558939690.7056668
2159,+1.52630300E+00,1558939690.914
2160,+1.52628070E+00,1558939691.1223333
2161,+1.52628560E+00,1558939691.3306668
2162,+1.52629430E+00,1558939691.539
2163,+1.52631660E+00,1558939691.7473333
2164,+1.52632160E+00,1558939691.9556668
2165,+1.52632160E+00,1558939692.164
2166,+1.52632160E+00,1558939692.3723333
2167,+1.52633770E+00,1558939692.5806668
2168,+1.52639600E+00,1558939692.789
2169,+1.52673190E+00,1558939692.9973333
2170,+1.52739500E+00,1558939693.2056668
2171,+1.52754870E+00,1558939693.414
2172,+1.52803580E+00,1558939693.6223333
2173,+1.52835810E+00,1558939693.8306668
2174,+1.52877340E+00,1558939694.039
2175,+1.52917620E+00,1558939697.639
2176,+1.52952330E+00,1558939697.8473332
2177,+1.52962740E+00,1558939698.0556667
2178,+1.52976500E+00,1558939698.264
2179,+1.52984550E+00,1558939698.4723332
2180,+1.52989760E+00,1558939698.6806667
2181,+1.52992610E+00,1558939698.889
2182,+1.52993110E+00,1558939699.0973332
2183,+1.52991370E+00,1558939699.3056667
2184,+1.52989270E+00,1558939699.514
2185,+1.52987280E+00,1558939699.7223332
2186,+1.52984550E+00,1558939699.9306667
2187,+1.52981580E+00,1558939700.139
2188,+1.52979720E+00,1558939700.3473332
2189,+1.52980460E+00,1558939700.5556667
2190,+1.52983690E+00,1558939700.764
2191,+1.52987280E+00,1558939700.9723332
2192,+1.52989140E+00,1558939701.1806667
2193,+1.52991120E+00,1558939701.389
2194,+1.52991870E+00,1558939701.5973332
2195,+1.52991990E+00,1558939701.8056667
2196,+1.52991990E+00,1558939702.014
2197,+1.52992240E+00,1558939702.2223332
2198,+1.52992740E+00,1558939702.4306667
2199,+1.52993230E+00,1558939702.639
2200,+1.52993850E+00,1558939706.239
2201,+1.52993980E+00,1558939706.4473333
2202,+1.52994220E+00,1558939706.6556668
2203,+1.52993730E+00,1558939706.864
2204,+1.52993730E+00,1558939707.0723333
2205,+1.52995340E+00,1558939707.2806668
2206,+1.52997690E+00,1558939707.489
2207,+1.53005500E+00,1558939707.6973333
2208,+1.53036120E+00,1558939707.9056668
2209,+1.53080250E+00,1558939708.114
2210,+1.53154120E+00,1558939708.3223333
2211,+1.53205070E+00,1558939708.5306668
2212,+1.53279690E+00,1558939708.739
2213,+1.53331370E+00,1558939708.9473333
2214,+1.53355790E+00,1558939709.1556668
2215,+1.53395330E+00,1558939709.364
2216,+1.53415290E+00,1558939709.5723333
2217,+1.53427310E+00,1558939709.7806668
2218,+1.53442680E+00,1558939709.989
2219,+1.53450490E+00,1558939710.1973333
2220,+1.53452350E+00,1558939710.4056668
2221,+1.53450620E+00,1558939710.614
2222,+1.53446900E+00,1558939710.8223333
2223,+1.53441570E+00,1558939711.0306668
