,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
238,-4.21304000E-05,1558931625.6723332,+1.57060610E+00,,
239,-4.16566000E-05,1558931625.8806667,+1.57059990E+00,,
240,-4.20570000E-05,1558931626.089,+1.57060610E+00,,
241,-4.21639000E-05,1558931626.2973332,+1.57060360E+00,,
242,-4.24308000E-05,1558931626.5056667,+1.57060610E+00,,
243,-4.19903000E-05,1558931626.714,+1.57060730E+00,,
244,-4.25709000E-05,1558931626.9223332,+1.57060610E+00,,
245,-4.22772000E-05,1558931627.1306667,+1.57060490E+00,,
246,-4.27178000E-05,1558931627.339,+1.57060610E+00,,
247,-4.21437000E-05,1558931627.5473332,+1.57060240E+00,,
248,-4.22905000E-05,1558931627.7556667,+1.57060490E+00,,
249,-4.20304000E-05,1558931627.964,+1.57060360E+00,,
250,-4.27044000E-05,1558931631.564,+1.57060120E+00,,
251,-4.22305000E-05,1558931631.7723331,+1.57060120E+00,,
252,-4.21638000E-05,1558931631.9806666,+1.57060240E+00,,
253,-4.25041000E-05,1558931632.189,+1.57060360E+00,,
254,-4.21838000E-05,1558931632.3973331,+1.57059740E+00,,
255,-4.20104000E-05,1558931632.6056666,+1.57059990E+00,,
256,-4.20037000E-05,1558931632.814,+1.57060490E+00,,
257,-4.25575000E-05,1558931633.0223331,+1.57060490E+00,,
258,-4.26442000E-05,1558931633.2306666,+1.57060490E+00,,
259,-4.18969000E-05,1558931633.439,+1.57060490E+00,,
260,-4.21104000E-05,1558931633.6473331,+1.57060610E+00,,
261,-4.25643000E-05,1558931633.8556666,+1.57060610E+00,,
262,-4.27845000E-05,1558931634.064,+1.57060360E+00,,
263,-4.27177000E-05,1558931634.2723331,+1.57060730E+00,,
264,-4.27045000E-05,1558931634.4806666,+1.57060360E+00,,
265,-4.27644000E-05,1558931634.689,+1.57060240E+00,,
266,-4.28712000E-05,1558931634.8973331,+1.57060240E+00,,
267,-4.23908000E-05,1558931635.1056666,+1.57060360E+00,,
268,-4.21437000E-05,1558931635.314,+1.57060490E+00,,
269,-4.25243000E-05,1558931635.5223331,+1.57060610E+00,,
270,-4.25842000E-05,1558931635.7306666,+1.57060240E+00,,
271,-4.23574000E-05,1558931635.939,+1.57060610E+00,,
272,-4.22505000E-05,1558931636.1473331,+1.57060360E+00,,
273,-4.28513000E-05,1558931636.3556666,+1.57060360E+00,,
274,-4.20036000E-05,1558931636.564,+1.57060240E+00,,
275,-4.22772000E-05,1558931640.164,+1.57060240E+00,,
276,-4.21039000E-05,1558931640.3723333,+1.57060610E+00,,
277,-4.25109000E-05,1558931640.5806668,+1.57060240E+00,,
278,-4.26844000E-05,1558931640.789,+1.57060490E+00,,
279,-4.23774000E-05,1558931640.9973333,+1.57060610E+00,,
280,-4.25643000E-05,1558931641.2056668,+1.57060610E+00,,
281,-4.24308000E-05,1558931641.414,+1.57059990E+00,,
282,-4.22038000E-05,1558931641.6223333,+1.57060120E+00,,
283,-4.25243000E-05,1558931641.8306668,+1.57060360E+00,,
284,-4.26510000E-05,1558931642.039,+1.57060360E+00,,
285,-4.25308000E-05,1558931642.2473333,+1.57060490E+00,,
286,-4.21905000E-05,1558931642.4556668,+1.57060610E+00,,
287,-4.24107000E-05,1558931642.664,+1.57060360E+00,,
288,-4.24107000E-05,1558931642.8723333,+1.57060120E+00,,
289,-4.22906000E-05,1558931643.0806668,+1.57060490E+00,,
290,-4.23706000E-05,1558931643.289,+1.57060860E+00,,
291,-4.19704000E-05,1558931643.4973333,+1.57060360E+00,,
292,-4.22505000E-05,1558931643.7056668,+1.57060610E+00,,
293,-4.22172000E-05,1558931643.914,+1.57060730E+00,,
294,-4.20236000E-05,1558931644.1223333,+1.57060980E+00,,
295,-4.24175000E-05,1558931644.3306668,+1.57060360E+00,,
296,-4.26444000E-05,1558931644.539,+1.57060860E+00,,
297,-4.26777000E-05,1558931644.7473333,+1.57060610E+00,,
298,-4.17901000E-05,1558931644.9556668,+1.57060730E+00,,
299,-4.30782000E-05,1558931645.164,+1.57060860E+00,,
300,-4.21439000E-05,1558931648.764,+1.57060980E+00,,
301,-4.24775000E-05,1558931648.9723332,+1.57060730E+00,,
302,-4.22039000E-05,1558931649.1806667,+1.57060860E+00,,
