,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
382,+3.24534000E-05,1559292716.4903333,+1.57095320E+00,,0.00016506064622124863,5.1522532019704434e-05
383,+3.27606000E-05,1559292716.6986668,+1.57095440E+00,,0.00016506093099671412,5.152637438423645e-05
384,+3.24536000E-05,1559292716.907,+1.57095190E+00,,0.00016576481927710842,5.152970443349753e-05
385,+3.28072000E-05,1559292717.1153333,+1.57095570E+00,,0.0001676419496166484,5.152534975369458e-05
386,+3.27339000E-05,1559292717.3236668,+1.57095190E+00,,0.00016764369112814897,5.152509359605911e-05
387,+3.19864000E-05,1559292717.532,+1.57095190E+00,,0.00016829372398685652,5.1529960591133005e-05
388,+3.26604000E-05,1559292717.7403333,+1.57095190E+00,,0.00016945046002190582,5.152637438423645e-05
389,+3.21866000E-05,1559292717.9486668,+1.57095070E+00,,0.00016945162102957283,5.15284236453202e-05
390,+3.24268000E-05,1559292718.157,+1.57095190E+00,,0.00016945336254107338,5.1523556650246305e-05
391,+3.12255000E-05,1559292718.3653333,+1.57095320E+00,,0.0001694548083242059,5.152791133004926e-05
392,+3.19397000E-05,1559292718.5736668,+1.57095190E+00,,0.0001694548083242059,5.152714285714286e-05
393,+3.19062000E-05,1559292718.782,+1.57095940E+00,,0.00016945220153340634,5.1531625615763545e-05
394,+3.24869000E-05,1559292718.9903333,+1.57095190E+00,,0.00016945336254107338,5.152637438423645e-05
395,+3.24067000E-05,1559292719.1986668,+1.57095190E+00,,0.00016945336254107338,5.1530985221674876e-05
396,+3.17928000E-05,1559292719.407,+1.57095440E+00,,0.0001694545125958379,5.1533034482758624e-05
397,+3.21866000E-05,1559292719.6153333,+1.57095320E+00,,0.00016945306681270537,5.15284236453202e-05
398,+3.13124000E-05,1559292719.8236668,+1.57095190E+00,,0.00016945306681270537,5.1527270935960594e-05
399,+3.21599000E-05,1559292720.032,+1.57095070E+00,,0.0001694539430449069,5.152778325123153e-05
400,+3.19398000E-05,1559292723.631,+1.57094820E+00,,0.00016985003285870754,5.153047290640394e-05
401,+3.20933000E-05,1559292723.8393333,+1.57095070E+00,,0.0001720345235487404,5.15284236453202e-05
402,+3.13992000E-05,1559292724.0476668,+1.57095190E+00,,0.00017203408543263964,5.1532009852216754e-05
403,+3.12656000E-05,1559292724.256,+1.57095320E+00,,0.00017235550930996712,5.153111330049261e-05
404,+3.12522000E-05,1559292724.4643333,+1.57095570E+00,,0.000173839430449069,5.153572413793103e-05
405,+3.15927000E-05,1559292724.6726668,+1.57095570E+00,,0.0001738391456736035,5.1528039408867e-05
406,+3.19865000E-05,1559292724.881,+1.57095440E+00,,0.000174313713033954,5.152663054187192e-05
407,+3.18263000E-05,1559292725.0893333,+1.57095320E+00,,0.00017564157721796275,5.153316256157636e-05
408,+3.18998000E-05,1559292725.2976668,+1.57095190E+00,,0.00017564128148959474,5.153277832512316e-05
409,+3.12924000E-05,1559292725.506,+1.57095070E+00,,0.00017638049288061337,5.1536364532019705e-05
410,+3.19530000E-05,1559292725.7143333,+1.57095070E+00,,0.00017823186199342824,5.153469950738916e-05
411,+3.14925000E-05,1559292725.9226668,+1.57094950E+00,,0.0001782333077765608,5.153841379310345e-05
412,+3.13125000E-05,1559292726.131,+1.57095070E+00,,0.00017890418400876232,5.153662068965518e-05
413,+3.18530000E-05,1559292726.3393333,+1.57095440E+00,,0.00018004123767798467,5.153277832512316e-05
414,+3.12656000E-05,1559292726.5476668,+1.57095320E+00,,0.00018004036144578312,5.1535083743842366e-05
415,+3.18195000E-05,1559292726.756,+1.57095070E+00,,0.00018003949616648412,5.152944827586207e-05
416,+3.17061000E-05,1559292726.9643333,+1.57095320E+00,,0.00018004065717415116,5.153277832512316e-05
417,+3.08986000E-05,1559292727.1726668,+1.57095070E+00,,0.00018003949616648412,5.1528935960591134e-05
418,+3.15993000E-05,1559292727.381,+1.57095570E+00,,0.00018004138006571743,5.1531241379310344e-05
419,+3.17661000E-05,1559292727.5893333,+1.57095320E+00,,0.00018004036144578312,5.152944827586207e-05
420,+3.09788000E-05,1559292727.7976668,+1.57094950E+00,,0.00018004181818181817,5.1532266009852214e-05
421,+3.04916000E-05,1559292728.006,+1.57095440E+00,,0.00018004123767798467,5.152970443349753e-05
422,+3.10923000E-05,1559292728.2143333,+1.57095320E+00,,0.0001800402190580504,5.152791133004926e-05
423,+3.03581000E-05,1559292728.4226668,+1.57095070E+00,,0.00018004094194961663,5.152791133004926e-05
424,+3.15527000E-05,1559292728.631,+1.57095440E+00,,0.00018004094194961663,5.152611822660099e-05
425,+3.07252000E-05,1559292732.231,+1.57095190E+00,,0.00018047366922234394,5.152586206896552e-05
426,+3.18197000E-05,1559292732.4393332,+1.57095320E+00,,0.0001826202300109529,5.1528935960591134e-05
427,+3.06918000E-05,1559292732.6476667,+1.57095320E+00,,0.00018262109529025192,5.1527527093596055e-05
428,+3.06583000E-05,1559292732.856,+1.57095190E+00,,0.00018296898138006571,5.1528295566502465e-05
429,+2.93302000E-05,1559292733.0643332,+1.57095320E+00,,0.00018442787513691126,5.152611822660099e-05
