,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),SQUID_Curr(A)
212,-3.13658000E-05,1559281337.805,+1.57077220E+00,0.02623508,4.9644364532019704e-05
213,-3.14257000E-05,1559281338.0133333,+1.57077470E+00,0.026872943,4.9644364532019704e-05
214,-3.12657000E-05,1559281338.2216668,+1.57077720E+00,0.026873101,4.964846305418719e-05
215,-3.14056000E-05,1559281338.43,+1.57077340E+00,0.026873387999999998,4.964590147783252e-05
216,-3.12923000E-05,1559281338.6383333,+1.57077220E+00,0.026873205,4.964590147783252e-05
217,-3.14459000E-05,1559281338.8466668,+1.57077470E+00,0.026873362,4.964077832512315e-05
218,-3.13858000E-05,1559281339.055,+1.57077100E+00,0.026873192,4.9645389162561575e-05
219,-3.14058000E-05,1559281339.2633333,+1.57077100E+00,0.026873270999999997,4.9642059113300494e-05
220,-3.15193000E-05,1559281339.4716668,+1.57077220E+00,0.026873297,4.9646413793103446e-05
221,-3.14658000E-05,1559281339.68,+1.57077100E+00,0.02687331,4.964654187192118e-05
222,-3.15325000E-05,1559281339.8883333,+1.57077590E+00,0.026873415,4.9644876847290646e-05
223,-3.11389000E-05,1559281340.0966668,+1.57077100E+00,0.026873230999999997,4.964052216748768e-05
224,-3.14926000E-05,1559281340.305,+1.57077340E+00,0.026873205,4.964462068965517e-05
225,-3.14592000E-05,1559281343.904,+1.57077100E+00,0.027007448,4.963795073891626e-05
226,-3.14592000E-05,1559281344.1123333,+1.57077220E+00,0.027878524999999998,4.964333990147783e-05
227,-3.19196000E-05,1559281344.3206668,+1.57077470E+00,0.027878865000000003,4.964513300492611e-05
228,-3.15860000E-05,1559281344.529,+1.57077100E+00,0.027878865000000003,4.964564532019704e-05
229,-3.14792000E-05,1559281344.7373333,+1.57077470E+00,0.027878891,4.9644876847290646e-05
230,-3.15191000E-05,1559281344.9456668,+1.57077470E+00,0.027878943,4.964564532019704e-05
231,-3.15593000E-05,1559281345.154,+1.57077340E+00,0.028120714,4.9647822660098525e-05
232,-3.15927000E-05,1559281345.3623333,+1.57077470E+00,0.028869299999999997,4.9644364532019704e-05
233,-3.14524000E-05,1559281345.5706668,+1.57077470E+00,0.028869508999999998,4.964564532019704e-05
234,-3.16127000E-05,1559281345.779,+1.57076970E+00,0.028869666,4.964602955665025e-05
235,-3.14992000E-05,1559281345.9873333,+1.57077220E+00,0.028869863000000003,4.9643467980295566e-05
236,-3.14525000E-05,1559281346.1956668,+1.57077220E+00,0.028869823,4.964282758620689e-05
237,-3.14390000E-05,1559281346.404,+1.57077720E+00,0.029229645999999998,4.964180295566502e-05
238,-3.16261000E-05,1559281346.6123333,+1.57077720E+00,0.029881334,4.964474876847291e-05
239,-3.15925000E-05,1559281346.8206668,+1.57077340E+00,0.029881465000000003,4.964154679802955e-05
240,-3.16326000E-05,1559281347.029,+1.57077590E+00,0.029881386,4.9643083743842365e-05
241,-3.18262000E-05,1559281347.2373333,+1.57077220E+00,0.029881569000000004,4.9643467980295566e-05
242,-3.16660000E-05,1559281347.4456668,+1.57077720E+00,0.029881555999999997,4.9641674876847286e-05
243,-3.15391000E-05,1559281347.654,+1.57077590E+00,0.029881517000000003,4.964449261083744e-05
244,-3.17060000E-05,1559281347.8623333,+1.57077590E+00,0.029881622000000004,4.964577339901478e-05
245,-3.15658000E-05,1559281348.0706668,+1.57077590E+00,0.0298817,4.964385221674876e-05
246,-3.15660000E-05,1559281348.279,+1.57077590E+00,0.029881727000000004,4.964564532019704e-05
247,-3.17728000E-05,1559281348.4873333,+1.57077720E+00,0.0298817,4.964602955665025e-05
248,-3.15393000E-05,1559281348.6956668,+1.57077590E+00,0.029881753,4.964180295566502e-05
249,-3.16326000E-05,1559281348.904,+1.57077720E+00,0.029881935999999998,4.964026600985222e-05
250,-3.14926000E-05,1559281352.505,+1.57077590E+00,0.030002461,4.964154679802955e-05
251,-3.15260000E-05,1559281352.7133334,+1.57076600E+00,0.030891087,4.964462068965517e-05
252,-1.15172400E-04,1559281352.9216669,+1.57070280E+00,0.030892736999999997,4.964462068965517e-05
253,-2.84560000E-05,1559281353.13,+1.57069410E+00,0.030892763,4.964385221674876e-05
254,-3.15660000E-05,1559281353.3383334,+1.57070160E+00,0.030892658,4.964282758620689e-05
255,-3.18595000E-05,1559281353.5466669,+1.57069910E+00,0.030892736999999997,4.964154679802955e-05
256,-3.07517000E-05,1559281353.755,+1.57070650E+00,0.027501451,4.964090640394089e-05
257,-3.03379000E-05,1559281353.9633334,+1.57071270E+00,0.031922150999999996,4.963988177339902e-05
258,-3.21665000E-05,1559281354.1716669,+1.57072140E+00,0.031919990999999995,4.964282758620689e-05
259,-3.14725000E-05,1559281354.38,+1.57071770E+00,0.031919599,4.964462068965517e-05
260,-3.13857000E-05,1559281354.5883334,+1.57072510E+00,0.031919206,4.964077832512315e-05
261,-3.09185000E-05,1559281354.7966669,+1.57071390E+00,0.031918944,4.964333990147783e-05
262,-2.06747000E-05,1559281355.005,+1.57071640E+00,0.032266528,4.96435960591133e-05
263,-3.14992000E-05,1559281355.2133334,+1.57071890E+00,0.032930664,4.964129064039409e-05
264,-3.16127000E-05,1559281355.4216669,+1.57072010E+00,0.032930547,4.964282758620689e-05
265,-3.16393000E-05,1559281355.63,+1.57072140E+00,0.03293069,4.964000985221675e-05
