,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A)
404,+4.75299000E-05,1559361968.5393333,,0.0001752506790799562
405,+4.76040400E-05,1559361968.7476668,,0.00017524431544359257
406,+4.75933600E-05,1559361968.956,,0.00017725608981380064
407,+4.76040400E-05,1559361969.1643333,,0.00017780607886089812
408,+4.76260800E-05,1559361969.3726668,,0.0001778018838992333
409,+4.76434400E-05,1559361969.581,,0.00017925613362541074
410,+4.76027100E-05,1559361969.7893333,,0.000179591708652793
411,+4.76060500E-05,1559361969.9976668,,0.00017958490690032856
412,+4.75719900E-05,1559361970.206,,0.00018172581599123767
413,+4.75786600E-05,1559361970.4143333,,0.00018214913472070098
414,+4.76134000E-05,1559361970.6226668,,0.00018214305585980285
415,+4.75619600E-05,1559361970.831,,0.00018213812705366922
416,+4.76013700E-05,1559361971.0393333,,0.00018213784227820372
417,+4.75746600E-05,1559361971.2476668,,0.00018213465498357066
418,+4.75833400E-05,1559361971.456,,0.00018212973713033955
419,+4.76127300E-05,1559361971.6643333,,0.00018213465498357066
420,+4.76033700E-05,1559361971.8726668,,0.00018213031763417305
421,+4.75579600E-05,1559361972.081,,0.00018212278203723987
422,+4.75706600E-05,1559361972.2893333,,0.00018212133625410734
423,+4.75946800E-05,1559361972.4976668,,0.00018211830230010953
424,+4.75993600E-05,1559361972.706,,0.0001821136692223439
425,+4.74678100E-05,1559361976.306,,0.00018325838992332968
426,+4.75005300E-05,1559361976.5143332,,0.00018390133625410734
427,+4.74531100E-05,1559361976.7226667,,0.00018389381161007667
428,+4.74844900E-05,1559361976.931,,0.00018576601314348302
429,+4.75205700E-05,1559361977.1393332,,0.00018646469879518072
430,+4.75072000E-05,1559361977.3476667,,0.0001864635377875137
431,+4.75392700E-05,1559361977.556,,0.00018781803943044908
