,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
210,+4.69509400E-05,1559364566.2403333,,9.367989813800658e-05,4.85088275862069e-05
211,+4.69943500E-05,1559364566.4486668,,9.368313800657174e-05,4.85095960591133e-05
212,+4.69843300E-05,1559364566.657,,9.488846111719605e-05,4.851395073891625e-05
213,+4.69516000E-05,1559364566.8653333,,9.547876232201534e-05,4.850575369458128e-05
214,+4.69455900E-05,1559364567.0736668,,9.548177108433735e-05,4.8511133004926114e-05
215,+4.70110400E-05,1559364567.282,,9.548566265060241e-05,4.851087684729064e-05
216,+4.69562900E-05,1559364567.4903333,,9.548945235487404e-05,4.851087684729064e-05
217,+4.69115300E-05,1559364567.6986668,,9.549331544359255e-05,4.8506009852216746e-05
218,+4.69569400E-05,1559364567.907,,9.549816100766704e-05,4.8512157635467985e-05
219,+4.69402500E-05,1559364568.1153333,,9.550219715224534e-05,4.851151724137931e-05
220,+4.69689700E-05,1559364568.3236668,,9.55068838992333e-05,4.850613793103448e-05
221,+4.69896700E-05,1559364568.532,,9.551086199342827e-05,4.850831527093596e-05
222,+4.70177300E-05,1559364568.7403333,,9.551340744797371e-05,4.851510344827586e-05
223,+4.69990200E-05,1559364568.9486668,,9.551621358159911e-05,4.851241379310345e-05
224,+4.70263900E-05,1559364569.157,,9.551926615553121e-05,4.8511389162561575e-05
225,+4.70844900E-05,1559364572.758,,9.676244797371304e-05,4.85088275862069e-05
226,+4.71138900E-05,1559364572.9663332,,9.81502278203724e-05,4.851087684729064e-05
227,+4.71025300E-05,1559364573.1746666,,9.81551752464403e-05,4.851331034482759e-05
228,+4.71352600E-05,1559364573.383,,9.912657502738226e-05,4.8512669950738914e-05
229,+4.71412700E-05,1559364573.5913332,,9.988855202628698e-05,4.8507802955665027e-05
230,+4.71299200E-05,1559364573.7996666,,9.98910547645126e-05,4.850511330049261e-05
231,+4.71519600E-05,1559364574.008,,0.00010142278422782037,4.850818719211822e-05
232,+4.71386000E-05,1559364574.2163332,,0.0001025138587075575,4.850921182266009e-05
233,+4.71499400E-05,1559364574.4246666,,0.00010251659255202629,4.8513438423645324e-05
234,+4.71686500E-05,1559364574.633,,0.00010367870974808324,4.850626600985222e-05
235,+4.71519600E-05,1559364574.8413332,,0.00010424680503833515,4.851190147783251e-05
236,+4.71813400E-05,1559364575.0496666,,0.00010424810624315445,4.8507418719211825e-05
237,+4.71138900E-05,1559364575.258,,0.00010607629572836801,4.850626600985222e-05
238,+4.71559600E-05,1559364575.4663332,,0.00010687004381161007,4.851190147783251e-05
239,+4.71446100E-05,1559364575.6746666,,0.00010687173603504929,4.850729064039409e-05
240,+4.71693200E-05,1559364575.883,,0.00010687326944140196,4.851010837438424e-05
241,+4.71940300E-05,1559364576.0913332,,0.00010687386199342826,4.850985221674877e-05
242,+4.71726600E-05,1559364576.2996666,,0.00010687321139101861,4.85095960591133e-05
243,+4.71853500E-05,1559364576.508,,0.00010687306681270537,4.850818719211822e-05
244,+4.72280800E-05,1559364576.7163332,,0.00010687215553121577,4.850908374384236e-05
245,+4.72387600E-05,1559364576.9246666,,0.00010687149069003285,4.850908374384236e-05
246,+4.72027100E-05,1559364577.133,,0.0001068712004381161,4.850729064039409e-05
247,+4.72447800E-05,1559364577.3413332,,0.00010686945016429355,4.850933990147783e-05
248,+4.72494500E-05,1559364577.5496666,,0.00010686803285870756,4.850511330049261e-05
249,+4.72681600E-05,1559364577.758,,0.00010687046330777655,4.850690640394088e-05
250,+4.72975400E-05,1559364581.357,,0.00010776355640744798,4.850677832512315e-05
251,+4.73075600E-05,1559364581.5653334,,0.0001086662891566265,4.850729064039409e-05
252,+4.73202400E-05,1559364581.7736669,,0.00010866668017524644,4.850908374384236e-05
253,+4.73229200E-05,1559364581.982,,0.0001115790799561884,4.8513182266009856e-05
254,+4.73636500E-05,1559364582.1903334,,0.00011154809419496166,4.851420689655173e-05
255,+4.73329400E-05,1559364582.3986669,,0.00011154399780941951,4.851062068965517e-05
256,+4.74057300E-05,1559364582.607,,0.00011412634173055862,4.851164532019704e-05
257,+4.73903800E-05,1559364582.8153334,,0.00011412763417305585,4.85095960591133e-05
258,+4.73676700E-05,1559364583.0236669,,0.00011412791894852136,4.8515999999999994e-05
259,+4.73910400E-05,1559364583.232,,0.00011592941949616648,4.851702463054188e-05
260,+4.73823400E-05,1559364583.4403334,,0.00011592927710843374,4.85152315270936e-05
261,+4.74070600E-05,1559364583.6486669,,0.00011592961664841184,4.851241379310345e-05
262,+4.74064000E-05,1559364583.857,,0.00011851440306681271,4.851395073891625e-05
263,+4.74157500E-05,1559364584.0653334,,0.00011851577217962761,4.851190147783251e-05
264,+4.74291000E-05,1559364584.2736669,,0.00011851670317634171,4.851087684729064e-05
265,+4.74070700E-05,1559364584.482,,0.00011851710843373495,4.851420689655173e-05
266,+4.74524800E-05,1559364584.6903334,,0.00011851658269441402,4.8513438423645324e-05
267,+4.74177600E-05,1559364584.8986669,,0.00011851598028477547,4.8514463054187195e-05
268,+4.74184200E-05,1559364585.107,,0.00011851557502738226,4.8513182266009856e-05
269,+4.74124100E-05,1559364585.3153334,,0.00011851498357064623,4.8512669950738914e-05
270,+4.73823500E-05,1559364585.5236669,,0.00011851476451259583,4.85152315270936e-05
271,+4.73543100E-05,1559364585.732,,0.00011851439211391019,4.851497536945812e-05
272,+4.73282600E-05,1559364585.9403334,,0.00011851401971522454,4.8511389162561575e-05
273,+4.73970400E-05,1559364586.1486669,,0.00011851403066812707,4.8515487684729066e-05
274,+4.73462900E-05,1559364586.357,,0.00011851378970427162,4.851292610837438e-05
275,+4.73750000E-05,1559364590.103,,0.00012001944140197152,4.8515487684729066e-05
276,+4.73369300E-05,1559364590.3113332,,0.00012032602409638553,4.851497536945812e-05
277,+4.73429500E-05,1559364590.5196667,,0.00012032692223439211,4.851510344827586e-05
278,+4.73429400E-05,1559364590.728,,0.00012253498357064622,4.851331034482759e-05
279,+4.73055600E-05,1559364590.9363332,,0.00012290934282584886,4.8512029556650244e-05
280,+4.73730000E-05,1559364591.1446667,,0.00012290944140197152,4.8515487684729066e-05
281,+4.73723400E-05,1559364591.353,,0.00012461573932092006,4.8517793103448275e-05
