Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
185.15899992,-1.63104700E-03,-16.148980198
185.596999884,-1.63094200E-03,-16.1479405941
186.034999847,-1.63123000E-03,-16.1507920792
186.47300005,-1.63112600E-03,-16.1497623762
186.911000013,-1.63104700E-03,-16.148980198
187.349999905,-1.63086400E-03,-16.1471683168
187.787999868,-1.63151800E-03,-16.1536435644
188.225999832,-1.63115200E-03,-16.150019802
188.665999889,-1.63149200E-03,-16.1533861386
189.103999853,-1.63128300E-03,-16.1513168317
189.542999983,-1.63130900E-03,-16.1515742574
189.980999947,-1.63104700E-03,-16.148980198
190.41899991,-1.63146600E-03,-16.1531287129
190.856999874,-1.63112600E-03,-16.1497623762
191.296000004,-1.63094200E-03,-16.1479405941
191.734999895,-1.63078500E-03,-16.1463861386
192.172999859,-1.63172800E-03,-16.1557227723
192.610999823,-1.63142700E-03,-16.1527425743
193.049999952,-1.63117800E-03,-16.1502772277
193.486999989,-1.63141400E-03,-16.1526138614
193.924999952,-1.63157100E-03,-16.1541683168
194.362999916,-1.63162300E-03,-16.1546831683
194.799999952,-1.63133500E-03,-16.1518316832
195.237999916,-1.63096900E-03,-16.1482079208
195.67599988,-1.63127000E-03,-16.1511881188
196.113999844,-1.63141400E-03,-16.1526138614
196.552000046,-1.63141400E-03,-16.1526138614
196.988999844,-1.63180600E-03,-16.1564950495
197.427999973,-1.63147900E-03,-16.1532574257
197.86500001,-1.63146600E-03,-16.1531287129
198.303999901,-1.63180600E-03,-16.1564950495
198.741999865,-1.63146600E-03,-16.1531287129
199.179999828,-1.63164900E-03,-16.1549405941
199.618000031,-1.63158400E-03,-16.1542970297
200.054999828,-1.63161000E-03,-16.1545544554
200.493000031,-1.63176700E-03,-16.1561089109
200.930999994,-1.63185900E-03,-16.157019802
201.368999958,-1.63164900E-03,-16.1549405941
201.805999994,-1.63196300E-03,-16.158049505
202.244999886,-1.63175400E-03,-16.155980198
202.682999849,-1.63161000E-03,-16.1545544554
203.121000051,-1.63147900E-03,-16.1532574257
203.559000015,-1.63140100E-03,-16.1524851485
203.996999979,-1.63125700E-03,-16.1510594059
204.434999943,-1.63153100E-03,-16.1537722772
204.871999979,-1.63185900E-03,-16.157019802
205.31099987,-1.63163600E-03,-16.1548118812
205.75,-1.63204200E-03,-16.1588316832
206.187999964,-1.63193700E-03,-16.1577920792
206.625999928,-1.63161000E-03,-16.1545544554
207.063999891,-1.63183300E-03,-16.1567623762
207.503000021,-1.63175400E-03,-16.155980198
207.940999985,-1.63201600E-03,-16.1585742574
208.378999949,-1.63180600E-03,-16.1564950495
208.816999912,-1.63161000E-03,-16.1545544554
209.254999876,-1.63181900E-03,-16.1566237624
209.694000006,-1.63178000E-03,-16.1562376238
210.131999969,-1.63164900E-03,-16.1549405941
210.569999933,-1.63181900E-03,-16.1566237624
211.007999897,-1.63183300E-03,-16.1567623762
211.445999861,-1.63151800E-03,-16.1536435644
211.88499999,-1.63223800E-03,-16.1607722772
212.322999954,-1.63163600E-03,-16.1548118812
212.760999918,-1.63164900E-03,-16.1549405941
213.198999882,-1.63183300E-03,-16.1567623762
213.636999846,-1.63162300E-03,-16.1546831683
214.075000048,-1.63191100E-03,-16.1575346535
214.513000011,-1.63159700E-03,-16.1544257426
214.950999975,-1.63179300E-03,-16.1563663366
215.388999939,-1.63183300E-03,-16.1567623762
215.82799983,-1.63200300E-03,-16.1584455446
216.266000032,-1.63197600E-03,-16.1581782178
216.703999996,-1.63209400E-03,-16.1593465347
217.142999887,-1.63195000E-03,-16.1579207921
217.580999851,-1.63180600E-03,-16.1564950495
218.017999887,-1.63172800E-03,-16.1557227723
218.455999851,-1.63178000E-03,-16.1562376238
218.894000053,-1.63180600E-03,-16.1564950495
219.332000017,-1.63157100E-03,-16.1541683168
219.769999981,-1.63181900E-03,-16.1566237624
220.207999945,-1.63183300E-03,-16.1567623762
220.645999908,-1.63185900E-03,-16.157019802
221.083999872,-1.63179300E-03,-16.1563663366
221.521999836,-1.63204200E-03,-16.1588316832
221.958999872,-1.63216000E-03,-16.16
222.398000002,-1.63196300E-03,-16.158049505
222.835999966,-1.63188500E-03,-16.1572772277
223.274999857,-1.63188500E-03,-16.1572772277
223.712999821,-1.63209400E-03,-16.1593465347
224.151000023,-1.63196300E-03,-16.158049505
224.589999914,-1.63222500E-03,-16.1606435644
