Time (s),Temp Probe Voltage (V)
294.854000092,+8.23649440E-01
295.253999949,+8.22981940E-01
295.654000044,+8.22234270E-01
296.053999901,+8.21105700E-01
296.453999996,+8.19950630E-01
296.854000092,+8.18922610E-01
297.253000021,+8.17985790E-01
297.652999878,+8.17104910E-01
298.052000046,+8.16275790E-01
298.451999903,+8.15518000E-01
298.851000071,+8.14833090E-01
299.250999928,+8.14203130E-01
299.650000095,+8.13573040E-01
300.049000025,+8.12972700E-01
300.448999882,+8.12348070E-01
300.848999977,+8.11689660E-01
301.249000072,+8.11142580E-01
301.648999929,+8.10616560E-01
302.048000097,+8.10080920E-01
302.447999954,+8.09538260E-01
302.846999884,+8.09020420E-01
303.246000051,+8.08503750E-01
303.645999908,+8.07979020E-01
304.046999931,+8.07437790E-01
304.447000027,+8.06917060E-01
304.845999956,+8.06405070E-01
305.246000051,+8.05909960E-01
305.644999981,+8.05405240E-01
306.045000076,+8.04894020E-01
306.444000006,+8.04372280E-01
306.844000101,+8.03845220E-01
307.243999958,+8.03356350E-01
307.642999887,+8.02895800E-01
308.042999983,+8.02361070E-01
308.441999912,+8.01829710E-01
308.842000008,+8.01319150E-01
309.242000103,+8.00829240E-01
309.64199996,+8.00374530E-01
310.042000055,+7.99902550E-01
310.440999985,+7.99473310E-01
310.839999914,+7.99032380E-01
311.24000001,+7.98597420E-01
311.638999939,+7.98154020E-01
312.039000034,+7.97744270E-01
312.437999964,+7.97317370E-01
312.838000059,+7.96923980E-01
313.237999916,+7.96511710E-01
313.637000084,+7.96103780E-01
314.038000107,+7.95686620E-01
314.437999964,+7.95268810E-01
314.836999893,+7.94839700E-01
315.236999989,+7.94458400E-01
315.637000084,+7.94080350E-01
316.036999941,+7.93693200E-01
316.436000109,+7.93296050E-01
316.835999966,+7.92885780E-01
317.234999895,+7.92481610E-01
317.63499999,+7.92100830E-01
318.03399992,+7.91722000E-01
318.434000015,+7.91333290E-01
318.833999872,+7.90951080E-01
319.23300004,+7.90561340E-01
319.632999897,+7.90166140E-01
320.032999992,+7.89766260E-01
320.431999922,+7.89373000E-01
320.832000017,+7.88970790E-01
321.231999874,+7.88570910E-01
321.631000042,+7.88176870E-01
322.029999971,+7.87786090E-01
322.430000067,+7.87408430E-01
322.829999924,+7.87025310E-01
323.229000092,+7.86646210E-01
323.628999949,+7.86276180E-01
324.029000044,+7.85924110E-01
324.428999901,+7.85568800E-01
324.828000069,+7.85216210E-01
325.226999998,+7.84869070E-01
325.627000093,+7.84524670E-01
326.02699995,+7.84178960E-01
326.427000046,+7.83825460E-01
326.825999975,+7.83478460E-01
327.224999905,+7.83133280E-01
327.625,+7.82790170E-01
328.023999929,+7.82450180E-01
