Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
182.381000042,+7.56000000E-07,0.00748514851485
182.822999954,+9.29000000E-07,0.00919801980198
183.265000105,+5.82000000E-07,0.00576237623762
183.707000017,+9.79000000E-07,0.00969306930693
184.149000168,+7.31000000E-07,0.00723762376238
184.59100008,+9.29000000E-07,0.00919801980198
185.032999992,+7.19000000E-07,0.00711881188119
185.475000143,+8.05000000E-07,0.0079702970297
185.917000055,+7.06000000E-07,0.0069900990099
186.35800004,+7.81000000E-07,0.00773267326733
186.800000191,+1.06500000E-06,0.0105445544554
187.241000175,+8.18000000E-07,0.00809900990099
187.683000088,+7.93000000E-07,0.00785148514851
188.125,+5.45000000E-07,0.00539603960396
188.567000151,+1.07800000E-06,0.0106732673267
189.009000063,+6.44000000E-07,0.00637623762376
189.450999975,+7.31000000E-07,0.00723762376238
189.89199996,+8.42000000E-07,0.00833663366337
190.334000111,+7.68000000E-07,0.00760396039604
190.776000023,+5.70000000E-07,0.00564356435644
191.218000174,+7.31000000E-07,0.00723762376238
191.660000086,+7.56000000E-07,0.00748514851485
192.101999998,+1.11500000E-06,0.0110396039604
192.544000149,+9.17000000E-07,0.00907920792079
192.986000061,+4.83000000E-07,0.00478217821782
193.427000046,+8.30000000E-07,0.00821782178218
193.870000124,+9.04000000E-07,0.0089504950495
194.312000036,+1.07800000E-06,0.0106732673267
194.753000021,+7.56000000E-07,0.00748514851485
195.195000172,+6.94000000E-07,0.00687128712871
195.637000084,+7.68000000E-07,0.00760396039604
196.078999996,+7.56000000E-07,0.00748514851485
196.521000147,+4.58000000E-07,0.00453465346535
196.963000059,+5.33000000E-07,0.00527722772277
197.404000044,-4.96000000E-07,-0.00491089108911
197.845999956,-1.12000000E-07,-0.00110891089109
198.288000107,+2.85000000E-07,0.00282178217822
198.730000019,+3.59000000E-07,0.00355445544554
199.17200017,+6.32000000E-07,0.00625742574257
199.614000082,+6.19000000E-07,0.00612871287129
200.055999994,+7.19000000E-07,0.00711881188119
200.496999979,+3.10000000E-07,0.00306930693069
200.93900013,+5.08000000E-07,0.0050297029703
201.380000114,+6.32000000E-07,0.00625742574257
201.822000027,+6.44000000E-07,0.00637623762376
202.264000177,+5.33000000E-07,0.00527722772277
202.70600009,+4.58000000E-07,0.00453465346535
203.147000074,+5.95000000E-07,0.00589108910891
203.588999987,+8.05000000E-07,0.0079702970297
204.031000137,+6.32000000E-07,0.00625742574257
204.47300005,+5.95000000E-07,0.00589108910891
204.914999962,+7.43000000E-07,0.00735643564356
205.357000113,+1.61000000E-07,0.00159405940594
205.798000097,+5.33000000E-07,0.00527722772277
206.24000001,+2.48000000E-07,0.00245544554455
206.680999994,+5.20000000E-07,0.00514851485149
207.123000145,+9.29000000E-07,0.00919801980198
207.565999985,+9.17000000E-07,0.00907920792079
208.006999969,+9.29000000E-07,0.00919801980198
208.44900012,+5.95000000E-07,0.00589108910891
208.891000032,+3.47000000E-07,0.00343564356436
209.332000017,+8.30000000E-07,0.00821782178218
209.774000168,+7.43000000E-07,0.00735643564356
210.21600008,+6.19000000E-07,0.00612871287129
210.657999992,+6.94000000E-07,0.00687128712871
211.101000071,+7.93000000E-07,0.00785148514851
211.542000055,+6.32000000E-07,0.00625742574257
211.983999968,+8.55000000E-07,0.00846534653465
212.426000118,+4.46000000E-07,0.00441584158416
212.868000031,-2.98937780E-01,-2959.78
213.43200016,+7.68000000E-07,0.00760396039604
213.873000145,+3.35000000E-07,0.00331683168317
214.315000057,+6.32000000E-07,0.00625742574257
214.756000042,+7.19000000E-07,0.00711881188119
215.197999954,+7.43000000E-07,0.00735643564356
215.640000105,+9.17000000E-07,0.00907920792079
216.082000017,+7.68000000E-07,0.00760396039604
216.524000168,+8.80000000E-07,0.00871287128713
216.96600008,+7.43000000E-07,0.00735643564356
217.407999992,+2.70592520E-02,267.913386139
217.850000143,+6.88065830E-02,681.25329703
218.275000095,+1.15200000E-06,0.0114059405941
218.717000008,+7.68000000E-07,0.00760396039604
219.159000158,+5.82000000E-07,0.00576237623762
219.600000143,+7.56000000E-07,0.00748514851485
220.042000055,+3.35000000E-07,0.00331683168317
220.48300004,+4.71000000E-07,0.00466336633663
220.925000191,+1.00400000E-06,0.00994059405941
221.367000103,+5.70000000E-07,0.00564356435644
221.809000015,+5.08000000E-07,0.0050297029703
222.251000166,+6.69000000E-07,0.00662376237624
222.692000151,+1.04100000E-06,0.0103069306931
223.134000063,+8.55000000E-07,0.00846534653465
223.575999975,+5.20000000E-07,0.00514851485149
224.018000126,+6.57000000E-07,0.00650495049505
224.459000111,+9.29000000E-07,0.00919801980198
224.901000023,+8.18000000E-07,0.00809900990099
225.343000174,+6.69000000E-07,0.00662376237624
225.785000086,+4.83000000E-07,0.00478217821782
226.226999998,+5.45000000E-07,0.00539603960396
226.669000149,+6.57000000E-07,0.00650495049505
227.111000061,+1.00400000E-06,0.00994059405941
227.552999973,+5.95000000E-07,0.00589108910891
227.993999958,+6.32000000E-07,0.00625742574257
228.437000036,+8.30000000E-07,0.00821782178218
228.879000187,+5.20000000E-07,0.00514851485149
229.321000099,+8.18000000E-07,0.00809900990099
229.763000011,+8.30000000E-07,0.00821782178218
230.205000162,+6.44000000E-07,0.00637623762376
230.647000074,+6.19000000E-07,0.00612871287129
231.088000059,+7.93000000E-07,0.00785148514851
231.529999971,+4.96000000E-07,0.00491089108911
